Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Fats,Fiber,Magnesium,Potassium,Protein,Sodium,Sugar
Acerola,Fruits,0.012,32.0,7.7,0.0,0.3,1.1,0.018,0.146,0.4,0.007,0.0
Apple,Fruits,0.006,52.0,14.0,0.0,0.17,2.4,0.005,0.107,0.26,0.001,10.0
Apricot,Fruits,0.013,48.0,11.0,0.0,0.39,2.0,0.01,0.259,1.4,0.001,9.2
Dried fruit,Fruits,0.055,241.0,63.0,0.0,0.51,7.3,0.032,1.162,3.4,0.01,53.0
Avocado,Fruits,0.012,160.0,8.5,0.0,15.0,6.7,0.029,0.485,2.0,0.007,0.66
Banana,Fruits,0.005,89.0,23.0,0.0,0.33,2.6,0.027,0.358,1.1,0.001,12.0
Blackberry,Fruits,0.029,43.0,9.6,0.0,0.49,5.3,0.02,0.162,1.4,0.001,4.9
Blueberry,Fruits,0.006,57.0,14.0,0.0,0.33,2.4,0.006,0.077,0.74,0.001,10.0
Boysenberries,Fruits,0.027,50.0,12.0,0.0,0.26,5.3,0.016,0.139,1.1,0.001,6.9
Breadfruit,Fruits,0.017,103.0,27.0,0.0,0.23,4.9,0.025,0.49,1.1,0.002,11.0
Carambola,Fruits,0.003,31.0,6.7,0.0,0.33,2.8,0.01,0.133,1.0,0.002,4.0
Cherimoya,Fruits,0.01,75.0,18.0,0.0,0.68,3.0,0.017,0.287,1.6,0.007,13.0
Cherry,Fruits,0.016,50.0,12.0,0.0,0.3,1.6,0.009,0.173,1.0,0.003,8.5
Crabapple (Malus),Fruits,0.018,76.0,20.0,0.0,0.3,0.0,0.007,0.194,0.4,0.001,0.0
Cranberry,Fruits,0.008,46.0,12.0,0.0,0.13,3.6,0.006,0.08,0.46,0.002,4.3
Currant,Fruits,0.033,56.0,14.0,0.0,0.2,4.3,0.013,0.275,1.4,0.001,7.4
Custard apple,Fruits,0.03,101.0,25.0,0.0,0.6,2.4,0.018,0.382,1.7,0.004,0.0
Dates,Fruits,0.039,282.0,75.0,0.0,0.39,8.0,0.043,0.656,2.5,0.002,63.0
Elderberry,Fruits,0.038,73.0,18.0,0.0,0.5,7.0,0.005,0.28,0.66,0.006,0.0
Figs,Fruits,0.035,74.0,19.0,0.0,0.3,2.9,0.017,0.232,0.75,0.001,16.0
Fruit salad,Fruits,0.011,50.0,13.0,0.0,0.03,1.0,0.008,0.116,0.51,0.005,0.0
Gooseberry,Fruits,0.025,44.0,10.0,0.0,0.58,4.3,0.01,0.198,0.88,0.001,0.0
Goji berries,Fruits,0.19,349.0,77.0,0.0,0.39,13.0,0.0,0.0,14.0,0.298,46.0
Grapefruit,Fruits,0.022,42.0,11.0,0.0,0.14,1.6,0.009,0.135,0.77,0.0,6.9
Grape,Fruits,0.014,67.0,17.0,0.0,0.35,0.9,0.005,0.191,0.63,0.002,16.0
Peruvian groundcherry,Fruits,0.009,53.0,11.0,0.0,0.7,0.0,0.0,0.0,1.9,0.0,0.0
Guava,Fruits,0.018,68.0,14.0,0.0,0.95,5.4,0.022,0.417,2.6,0.002,8.9
Jackfruit,Fruits,0.024,95.0,23.0,0.0,0.64,1.5,0.029,0.448,1.7,0.002,19.0
Java plum,Fruits,0.019,60.0,16.0,0.0,0.23,0.0,0.015,0.079,0.72,0.014,0.0
Jujube,Fruits,0.021,79.0,20.0,0.0,0.2,0.0,0.01,0.25,1.2,0.003,0.0
Kiwifruit,Fruits,0.034,61.0,15.0,0.0,0.52,3.0,0.017,0.312,1.1,0.003,9.0
Kumquat,Fruits,0.062,71.0,16.0,0.0,0.86,6.5,0.02,0.186,1.9,0.01,9.4
Lemon,Fruits,0.026,29.0,9.3,0.0,0.3,2.8,0.008,0.138,1.1,0.002,2.5
Lime,Fruits,0.033,30.0,11.0,0.0,0.2,2.8,0.006,0.102,0.7,0.002,1.7
Lychee,Fruits,0.005,66.0,17.0,0.0,0.44,1.3,0.01,0.171,0.83,0.001,15.0
Loganberries,Fruits,0.026,55.0,13.0,0.0,0.31,5.3,0.021,0.145,1.5,0.001,7.7
Longan,Fruits,0.001,60.0,15.0,0.0,0.1,1.1,0.01,0.266,1.3,0.0,0.0
Loquat,Fruits,0.016,47.0,12.0,0.0,0.2,1.7,0.013,0.266,0.43,0.001,0.0
Mango,Fruits,0.011,60.0,15.0,0.0,0.38,1.6,0.01,0.168,0.82,0.001,14.0
Purple mangosteen,Fruits,0.012,73.0,18.0,0.0,0.58,1.8,0.013,0.048,0.41,0.007,0.0
Cantaloupe,Fruits,0.009,34.0,8.2,0.0,0.19,0.9,0.012,0.267,0.84,0.016,7.9
Melon,Fruits,0.011,28.0,6.6,0.0,0.1,0.9,0.011,0.182,1.1,0.009,5.7
Honeydew,Fruits,0.006,36.0,9.1,0.0,0.14,0.8,0.01,0.228,0.54,0.018,8.1
Mulberry,Fruits,0.039,43.0,9.8,0.0,0.39,1.7,0.018,0.194,1.4,0.01,8.1
Nectarine,Fruits,0.006,44.0,11.0,0.0,0.32,1.7,0.009,0.201,1.1,0.0,7.9
Orange,Fruits,0.04,47.0,12.0,0.0,0.12,2.4,0.01,0.181,0.94,0.0,9.4
Mandarin orange,Fruits,0.037,53.0,13.0,0.0,0.31,1.8,0.012,0.166,0.81,0.002,11.0
Papaya,Fruits,0.02,43.0,11.0,0.0,0.26,1.7,0.021,0.182,0.47,0.008,7.8
Passion fruit,Fruits,0.012,97.0,23.0,0.0,0.7,10.0,0.029,0.348,2.2,0.028,11.0
Peach,Fruits,0.006,39.0,9.5,0.0,0.25,1.5,0.009,0.19,0.91,0.0,8.4
Pear,Fruits,0.009,57.0,15.0,0.0,0.14,3.1,0.007,0.116,0.36,0.001,9.8
Persimmon,Fruits,0.027,127.0,34.0,0.0,0.4,0.0,0.0,0.31,0.8,0.001,0.0
Pineapple,Fruits,0.013,50.0,13.0,0.0,0.12,1.4,0.012,0.109,0.54,0.001,9.9
Pitanga (Surinam cherry),Fruits,0.009,33.0,7.5,0.0,0.4,0.0,0.012,0.103,0.8,0.003,0.0
Plantain,Fruits,0.002,116.0,31.0,0.0,0.18,2.3,0.032,0.465,0.79,0.005,14.0
Plum,Fruits,0.006,46.0,11.0,0.0,0.28,1.4,0.007,0.157,0.7,0.0,9.9
Pomegranate,Fruits,0.01,83.0,19.0,0.0,1.2,4.0,0.012,0.236,1.7,0.003,14.0
Prickly pear,Fruits,0.056,41.0,9.6,0.0,0.51,3.6,0.085,0.22,0.73,0.005,0.0
Prunes,Fruits,0.043,240.0,64.0,0.0,0.38,7.1,0.041,0.732,2.2,0.002,38.0
Pomelo,Fruits,0.004,38.0,9.6,0.0,0.04,1.0,0.006,0.216,0.76,0.001,0.0
Quince,Fruits,0.011,57.0,15.0,0.0,0.1,1.9,0.008,0.197,0.4,0.004,0.0
Raisin,Fruits,0.05,299.0,79.0,0.0,0.46,3.7,0.032,0.749,3.1,0.011,59.0
Rambutan,Fruits,0.022,82.0,21.0,0.0,0.21,0.9,0.007,0.042,0.65,0.011,0.0
Raspberry,Fruits,0.025,52.0,12.0,0.0,0.65,6.5,0.022,0.151,1.2,0.001,4.4
Roselle,Fruits,0.215,49.0,11.0,0.0,0.64,0.0,0.051,0.208,0.96,0.006,0.0
Rose apple,Fruits,0.029,25.0,5.7,0.0,0.3,0.0,0.005,0.123,0.6,0.0,0.0
Sapodilla,Fruits,0.021,83.0,20.0,0.0,1.1,5.3,0.012,0.193,0.44,0.012,0.0
Mamey Sapote,Fruits,0.018,124.0,32.0,0.0,0.46,5.4,0.011,0.454,1.5,0.007,20.0
Soursop,Fruits,0.014,66.0,17.0,0.0,0.3,3.3,0.021,0.278,1.0,0.014,14.0
Strawberry,Fruits,0.016,32.0,7.7,0.0,0.3,2.0,0.013,0.153,0.67,0.001,4.9
Tamarind,Fruits,0.074,239.0,63.0,0.0,0.6,5.1,0.092,0.628,2.8,0.028,39.0
